,companyFullName,city,companyLabelList,companySize,createTime,district,education,financeStage,firstType,industryField,positionAdvantage,positionLables,positionName,salary,workYear,,
62,光合新知（北京）科技有限公司,北京,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,2018-03-10 13:37:02,朝阳区,大专,C轮,开发/测试/运维类,"移动互联网,教育","年假15天,免费早午餐,弹性工作制,极客范儿","['教育', '高级', '中级', '服务器端', '全栈']",Python Web开发工程师,10k-20k,1-3年,,
63,北京慕华信息科技有限公司,北京,"['节日礼物', '股票期权', '带薪年假', '氛围轻松']",150-500人,2018-03-11 18:12:54,海淀区,本科,B轮,开发/测试/运维类,"移动互联网,教育","五险一金,餐补,生日会,优秀团队","['资深', '高级']",系统开发工程师（Python）,20k-30k,5-10年,,
64,北京春雨天下软件有限公司,北京,"['绩效奖金', '五险一金', '带薪年假', '定期体检']",150-500人,2018-03-08 18:24:13,海淀区,本科,C轮,技术,移动互联网,有挑战，自主加薪，技术氛围好,"['Java', 'redis', '移动医疗', '微服务', '服务器研发']",Python,20k-40k,3-5年,,
65,北京东方国信科技股份有限公司,北京,"['大数据软件', '技能培训', '节日礼物', '年底双薪']",2000人以上,2018-02-28 15:25:34,朝阳区,本科,上市公司,开发/测试/运维类,数据服务,"公司前景好,优秀团队,带薪年假",['后端开发'],Python开发工程师,18k-25k,5-10年,,
66,上海基分文化传播有限公司,上海,[],500-2000人,2018-03-11 16:13:48,浦东新区,大专,不需要融资,开发/测试/运维类,移动互联网,"平均16薪,技术驱动型,福利待遇好,发展空间大","['web', '架构师', '爬虫', '数据分析', '服务器端']",Python工程师,15k-30k,3-5年,,
67,北京云游九州空间科技有限公司,北京,"['股票期权', '专项奖金', '带薪年假', '定期体检']",15-50人,2018-03-11 10:49:41,海淀区,硕士,天使轮,开发/测试/运维类,数据服务、企业服务,"年度旅游,互联网平台,硬科技,弹性上班时","['地图', '算法', 'matlab', '地理信息系统']",Python工程师,10k-20k,1-3年,,
68,北京陌上花科技有限公司,北京,"['股票期权', '岗位晋升', '弹性工作', '绩效奖金']",50-150人,2018-03-09 10:30:06,海淀区,本科,B轮,开发/测试/运维类,移动互联网,"绩效奖金,弹性工作,技术大牛,晋升空间","['即时通讯', '资深', '高级', '中级', '后端开发']",Python开发工程师,15k-30k,3-5年,,
69,上海数禾信息科技有限公司,上海,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",150-500人,2018-03-09 10:22:51,浦东新区,本科,不需要融资,开发/测试/运维类,"移动互联网,金融","移动金融,未来金矿,精英团队,助力成长","['金融', '软件开发']",Python 高级开发工程师,15k-30k,3-5年,,
70,万兴科技股份有限公司,深圳,"['股票期权', '骨干配车', '创业平台', '餐饮补助']",150-500人,2018-03-09 20:58:30,南山区,本科,B轮,开发/测试/运维类,移动互联网,"在线高并发,技术难度大,运维要求高","['Ruby', '系统架构', '系统开发']",Python开发工程师,10k-20k,3-5年,,
71,先花信息技术（北京）有限公司,北京,"['股票期权', '年底双薪', '带薪年假', '功夫熊按摩']",150-500人,2018-03-08 14:46:59,海淀区,不限,B轮,开发/测试/运维类,"移动互联网,金融","大牛云集,高速发展",[],Python中级工程师,15k-20k,3-5年,,
